TreeID,TreeName,ID,Name,X,Y,Max,Req,ReqLv,Icon
blade,Blade Skills,hammer_slam,Hammer Slam,100,40,10,,0,sk_hammer_slam.png
blade,Blade Skills,cleaving_attack,Cleaving Attack,340,40,10,hammer_slam,5,sk_cleaving_attack.png
blade,Blade Skills,storm_blaze,Storm Blaze,460,40,10,cleaving_attack,5,sk_storm_blaze.png
blade,Blade Skills,garde_blade,Garde Blade,580,40,10,storm_blaze,5,sk_garde_blade.png
blade,Blade Skills,orge_slash,Orge Slash,700,40,10,garde_blade,5,sk_orge_slash.png
blade,Blade Skills,hard_hit,Hard Hit,100,220,10,,0,sk_hard_hit.png
blade,Blade Skills,astute,Astute,220,150,10,hard_hit,5,sk_astute.png
blade,Blade Skills,trigger_slash,Trigger Slash,340,150,10,astute,5,sk_trigger_slash.png
blade,Blade Skills,rampage,Rampage,460,150,10,trigger_slash,5,sk_rampage.png
blade,Blade Skills,shut_out,Shut-Out,840,150,10,rampage,5,sk_shut_out.png
blade,Blade Skills,meteor_breaker,Meteor Breaker,580,220,10,trigger_slash,5,sk_meteor_breaker.png
blade,Blade Skills,lunar_slash,Lunar Slash,700,220,10,meteor_breaker,5,sk_lunar_slash.png
blade,Blade Skills,sonic_blade,Sonic Blade,220,290,10,hard_hit,5,sk_sonic_blade.png
blade,Blade Skills,spiral_air,Spiral Air,340,290,10,sonic_blade,5,sk_spiral_air.png
blade,Blade Skills,sword_tempest,Sword Tempest,460,290,10,spiral_air,5,sk_sword_tempest.png
blade,Blade Skills,buster_blade,Buster Blade,580,360,10,spiral_air,5,sk_buster_blade.png
blade,Blade Skills,aura_blade,Aura Blade,700,360,10,buster_blade,5,sk_aura_blade.png
blade,Blade Skills,sword_mastery,Sword Mastery,100,420,10,,0,sk_sword_mastery.png
blade,Blade Skills,quick_slash,Quick Slash,220,420,10,sword_mastery,5,sk_quick_slash.png
blade,Blade Skills,sword_techniques,Sword Techniques,340,420,10,quick_slash,5,sk_sword_techniques.png
blade,Blade Skills,warcry,War Cry,460,490,10,quick_slash,5,sk_warcry.png
